,Aircraft,Flight Phase,Date,Fault Text,Report Maintenance
242,2982,Descent,2007-11-15 15:28:00,FDE_F_System3,RMA_K_System3
243,2982,Engine Start,2007-11-16 04:28:00,FDE_F_System3,RMA_K_System3
244,2982,,2007-11-16 04:28:00,FDE_F_System3,
245,2982,Engine Start,2007-11-16 19:40:00,FDE_F_System3,RMA_K_System3
246,2982,,2007-11-16 19:40:00,FDE_F_System3,
247,2982,Engine Start,2007-11-17 15:51:00,FDE_F_System3,RMA_K_System3
248,2982,,2007-11-17 15:51:00,FDE_F_System3,
249,2982,Engine Start,2007-11-18 08:09:00,FDE_F_System3,RMA_K_System3
250,2982,,2007-11-18 08:09:00,FDE_F_System3,
251,2982,Engine Start,2007-11-18 20:49:00,FDE_F_System3,RMA_K_System3
252,2982,,2007-11-18 20:49:00,FDE_F_System3,
253,1419,Taxi-Out,2006-05-10 03:59:00,FDE_H_System1,RMA_E_System1
254,1419,Enroute Cruise,2006-05-15 16:41:00,FDE_C_System2,RMA_A_System2
255,1419,Enroute Cruise,2006-05-15 16:41:00,FDE_B_System2,RMA_A_System2
256,1419,Engine Start,2006-05-30 21:52:00,FDE_H_System1,RMA_E_System1
257,1419,Engine Start,2006-05-30 21:52:00,FDE_D_System1,RMA_E_System1
258,1419,Taxi-Out,2006-06-02 05:45:00,FDE_H_System1,RMA_E_System1
259,1419,Taxi-Out,2006-06-02 05:45:00,FDE_D_System1,RMA_E_System1
260,1419,Taxi-Out,2006-06-02 05:45:00,FDE_A_System1,RMA_E_System1
261,1419,Initial Climb,2006-07-25 02:36:00,FDE_A_System3,RMA_F_System3
262,1419,Initial Climb,2006-07-25 02:36:00,FDE_E_System3,RMA_F_System3
263,1419,,2006-07-25 15:35:00,FDE_G_System1,
264,1419,Descent,2006-08-20 04:18:00,FDE_G_System1,RMA_D_System1
265,1419,Initial Climb,2006-09-23 06:12:00,FDE_A_System3,RMA_F_System3
266,1419,Approach Land,2006-09-23 06:12:00,FDE_D_System2,RMA_O_System2
267,1419,Approach Land,2006-09-23 06:12:00,FDE_C_System2,RMA_O_System2
268,1419,Initial Climb,2006-09-23 06:12:00,FDE_E_System3,RMA_F_System3
269,1419,Leg Transition,2006-09-23 19:33:00,FDE_E_System3,RMA_P_System3
270,1419,Engine Start,2006-09-24 04:49:00,FDE_F_System3,RMA_L_System3
271,1419,Taxi-Out,2006-09-24 04:49:00,FDE_C_System2,RMA_O_System2
272,1419,Leg Transition,2006-09-24 04:49:00,FDE_E_System3,RMA_P_System3
273,1419,Descent,2006-09-24 15:42:00,FDE_D_System2,RMA_O_System2
274,1419,Descent,2006-09-24 15:42:00,FDE_C_System2,RMA_O_System2
275,1419,Power On,2006-09-25 09:44:00,FDE_Other06,RMA_N_System3
276,1419,Taxi-Out,2006-09-25 09:44:00,FDE_C_System2,RMA_O_System2
277,1419,Descent,2006-10-02 01:27:00,FDE_F_System3,RMA_L_System3
278,1419,Descent,2006-10-02 01:27:00,FDE_F_System3,RMA_L_System3
279,1419,Descent,2006-10-02 01:22:00,FDE_F_System3,RMA_L_System3
280,1419,Descent,2006-10-02 01:22:00,FDE_F_System3,RMA_L_System3
281,1419,Engine Start,2006-10-02 16:12:00,FDE_F_System3,RMA_L_System3
282,1419,Taxi-Out,2006-10-03 09:36:00,FDE_F_System3,RMA_L_System3
283,1419,Climb,2006-12-18 04:11:00,FDE_E_System1,RMA_F_System1
284,1419,Climb,2006-12-18 04:11:00,FDE_A_System1,RMA_F_System1
285,1419,,2006-12-19 15:59:00,FDE_Other03,
286,1419,,2006-12-19 15:59:00,FDE_K_System1,
287,1419,,2006-12-19 15:59:00,FDE_K_System4,
288,1419,,2006-12-19 15:59:00,FDE_E_System4,
289,1419,,2006-12-19 15:59:00,FDE_K_System2,
290,1419,Climb,2006-12-28 04:30:00,FDE_E_System1,RMA_F_System1
291,1419,,2006-12-28 04:30:00,FDE_G_System4,
292,1419,Climb,2006-12-28 04:30:00,FDE_A_System1,RMA_F_System1
293,1419,,2006-12-28 18:13:00,FDE_G_System4,
294,1419,Taxi-Out,2006-12-29 03:22:00,FDE_G_System4,RMA_D_System4
295,1419,,2006-12-29 12:48:00,FDE_G_System4,
296,1419,,2006-12-30 01:23:00,FDE_G_System4,
297,1419,,2006-12-30 15:45:00,FDE_G_System4,
298,1419,,2006-12-31 02:39:00,FDE_G_System4,
299,1419,,2006-12-31 02:39:00,FDE_Q_System3,
300,1419,,2006-12-31 12:38:00,FDE_G_System4,
301,1419,,2006-12-31 12:38:00,FDE_Q_System3,
